CITY,TIMEZONE,LATITUDE,LONGITUDE
Puerto Varas,America/Santiago,-41.31946,-72.98538
Quellon,America/Santiago,-43.11819,-73.61661
Puerto Natales,America/Punta_Arenas,-51.72987,-72.50603
Puerto Montt,America/Santiago,-41.4693,-72.94237
Puerto Cisnes,America/Santiago,-44.74736,-72.69695
Puerto Aysen,America/Santiago,-45.40303,-72.69184
Puente Alto,America/Santiago,-33.61169,-70.57577
Pucon,America/Santiago,-39.28223,-71.95427
Providencia,America/Santiago,-33.43107,-70.60454
Pozo Almonte,America/Santiago,-20.25585,-69.7863
Porvenir,America/Punta_Arenas,-53.296,-70.36629
Pitrufquen,America/Santiago,-38.98635,-72.63721
Pica,America/Santiago,-20.49128,-69.33118
Penco,America/Santiago,-36.74075,-72.99528
Penaflor,America/Santiago,-33.60627,-70.87649
Parral,America/Santiago,-36.14311,-71.82605
Panguipulli,America/Santiago,-39.64355,-72.33269
Palena,America/Santiago,-43.61876,-71.80434
Paine,America/Santiago,-33.80796,-70.74109
Ovalle,America/Santiago,-30.60106,-71.19901
Osorno,America/Santiago,-40.57395,-73.13348
Ollaguee,America/Santiago,-21.22496,-68.25352
Maria Elena,America/Santiago,-22.34449,-69.66178
Nueva Imperial,America/Santiago,-38.74451,-72.95025
Nacimiento,America/Santiago,-37.50253,-72.67307
Mulchen,America/Santiago,-37.71893,-72.24099
Monte Patria,America/Santiago,-30.69496,-70.9577
Molina,America/Santiago,-35.11428,-71.28232
Melipilla,America/Santiago,-33.68909,-71.21528
Mejillones,America/Santiago,-23.10003,-70.44703
Matilla,America/Santiago,-20.51379,-69.3618
Machali,America/Santiago,-34.18082,-70.64933
Lota,America/Santiago,-37.08994,-73.1577
Los Angeles,America/Santiago,-37.46973,-72.35366
Los Andes,America/Santiago,-32.83369,-70.59827
Longavi,America/Santiago,-35.96496,-71.6836
Loncoche,America/Santiago,-39.36708,-72.63087
Llaillay,America/Santiago,-32.84043,-70.95623
Linares,America/Santiago,-35.84667,-71.59308
Limache,America/Santiago,-33.01667,-71.26667
Lebu,America/Santiago,-37.60825,-73.65356
Lautaro,America/Santiago,-38.53066,-72.43652
La Union,America/Santiago,-40.29313,-73.08167
La Tirana,America/Santiago,-20.33552,-69.65671
La Serena,America/Santiago,-29.90453,-71.24894
Lampa,America/Santiago,-33.2863,-70.87561
La Ligua,America/Santiago,-32.45242,-71.23106
Laja,America/Santiago,-37.28415,-72.71105
La Ensenada,America/Santiago,-41.20746,-72.5384
Iquique,America/Santiago,-20.21326,-70.15027
Illapel,America/Santiago,-31.63349,-71.16967
Huara,America/Santiago,-19.99631,-69.77205
Hacienda La Calera,America/Santiago,-32.78333,-71.21667
Graneros,America/Santiago,-34.06863,-70.72747
Futaleufu,America/Santiago,-43.18492,-71.86722
Freire,America/Santiago,-38.95252,-72.62653
El Tabo,America/Santiago,-33.45,-71.66667
El Monte,America/Santiago,-33.67969,-70.98482
Diego de Almagro,America/Santiago,-26.39022,-70.04556
Dalcahue,America/Santiago,-42.37845,-73.65011
Cuya,America/Santiago,-19.16062,-70.17953
Curico,America/Santiago,-34.98279,-71.23943
Curanilahue,America/Santiago,-37.47793,-73.34495
Corral,America/Santiago,-39.8873,-73.43101
Coronel,America/Santiago,-37.03386,-73.14019
Coquimbo,America/Santiago,-29.95332,-71.33947
Copiapo,America/Santiago,-27.36679,-70.3314
Constitucion,America/Santiago,-35.33321,-72.41156
Concepcion,America/Santiago,-36.82699,-73.04977
Collipulli,America/Santiago,-37.95453,-72.43438
Colina,America/Santiago,-33.20443,-70.67474
Colchane,America/Santiago,-19.27588,-68.63763
Colbun,America/Santiago,-35.69494,-71.40568
Coihueco,America/Santiago,-36.62785,-71.83068
Coyhaique,America/Santiago,-45.57524,-72.06619
Cochrane,America/Santiago,-47.2557,-72.5695
Chonchi,America/Santiago,-42.62387,-73.775
Chimbarongo,America/Santiago,-34.71247,-71.0434
Chillan,America/Santiago,-36.60664,-72.10344
Chile Chico,America/Santiago,-46.541,-71.72375
Chiguayante,America/Santiago,-36.9256,-73.02841
Chicureo Abajo,America/Santiago,-33.28379,-70.65333
Chanaral,America/Santiago,-26.34298,-70.61648
Chanavayita,America/Santiago,-20.70516,-70.18922
Chaiten,America/Santiago,-42.91596,-72.70632
Cavancha,America/Santiago,-20.23446,-70.14496
Cauquenes,America/Santiago,-35.9671,-72.32248
Castro,America/Santiago,-42.4721,-73.77319
Cartagena,America/Santiago,-33.55384,-71.60761
Carahue,America/Santiago,-38.71122,-73.16101
Canete,America/Santiago,-37.80128,-73.39616
Camina,America/Santiago,-19.31286,-69.4261
Cameron,America/Punta_Arenas,-53.63988,-69.64693
Calbuco,America/Santiago,-41.77338,-73.13049
Calama,America/Santiago,-22.45667,-68.92371
Cabrero,America/Santiago,-37.03394,-72.40468
Bulnes,America/Santiago,-36.74232,-72.29854
Buin,America/Santiago,-33.73257,-70.74281
Baquedano,America/Santiago,-23.33374,-69.84055
Arica,America/Santiago,-18.4746,-70.29792
Arauco,America/Santiago,-37.2463,-73.31752
Antofagasta,America/Santiago,-23.65236,-70.3954
Angol,America/Santiago,-37.79519,-72.71636
Ancud,America/Santiago,-41.8707,-73.81622
Alto Hospicio,America/Santiago,-20.26871,-70.1049
Puerto Chacabuco,America/Santiago,-45.46667,-72.81667
La Junta,America/Santiago,-43.97434,-72.40554
Hanga Roa,Pacific/Easter,-27.15253,-109.42438
Las Gaviotas,America/Santiago,-39.86653,-73.18834
Las Animas,America/Santiago,-39.80867,-73.21821
Villa Europa,America/Santiago,-39.83892,-73.23538
Santa Rosa,America/Santiago,-40.17625,-72.56058
La Pintana,America/Santiago,-33.58331,-70.63419
Lo Prado,America/Santiago,-33.4443,-70.72552
Villa Presidente Frei,America/Santiago,-33.46069,-70.58024
Vallenar,America/Santiago,-28.51576,-70.25551
Barrio Industrial,America/Santiago,-20.20398,-70.1346
Puerto,America/Santiago,-20.21703,-70.15418
Arturo Prat,America/Santiago,-20.21169,-70.14661
Hospital,America/Santiago,-20.21361,-70.13869
Parque Balmaceda,America/Santiago,-20.22166,-70.14752
Gomez Carreno,America/Santiago,-20.23627,-70.13621
Playa Brava,America/Santiago,-20.2469,-70.13291
La Tirana,America/Santiago,-20.28382,-70.12673
Caupolican,America/Santiago,-20.22479,-70.13668
Baquedano,America/Santiago,-20.13852,-69.75367
Yoko,Africa/Douala,5.53333,12.31667
Yokadouma,Africa/Douala,3.51667,15.05
Yaounde,Africa/Douala,3.86667,11.51667
Yagoua,Africa/Douala,10.34107,15.23288
Yabassi,Africa/Douala,4.45697,9.96822
Wum,Africa/Douala,6.38333,10.06667
Tonga,Africa/Douala,4.96667,10.7
Tiko,Africa/Douala,4.075,9.36005
Tignere,Africa/Douala,7.36667,12.65
Tibati,Africa/Douala,6.46504,12.62843
Tchollire,Africa/Douala,8.4022,14.1698
Sangmelima,Africa/Douala,2.93333,11.98333
Saa,Africa/Douala,4.36667,11.45
Rey Bouba,Africa/Douala,8.6724,14.1786
Poli,Africa/Douala,8.4756,13.24097
Pitoa,Africa/Douala,9.3839,13.50231
Penja,Africa/Douala,4.63911,9.67987
Ombesa,Africa/Douala,4.6,11.25
Okola,Africa/Douala,4.01667,11.38333
Okoa,Africa/Douala,3.98333,11.6
Obala,Africa/Douala,4.16667,11.53333
Ntui,Africa/Douala,4.45,11.63333
Nkoteng,Africa/Douala,4.51667,12.03333
Nkongsamba,Africa/Douala,4.9547,9.9404
Njinikom,Africa/Douala,6.23333,10.28333
Nguti,Africa/Douala,5.3299,9.4185
Ngoro,Africa/Douala,4.95,11.38333
Ngomedzap,Africa/Douala,3.25,11.2
Ngaoundere,Africa/Douala,7.32765,13.58472
Ngambe,Africa/Douala,4.23343,10.61532
Ndikinimeki,Africa/Douala,4.76667,10.83333
Ndelele,Africa/Douala,4.04065,14.92501
Nanga Eboko,Africa/Douala,4.68333,12.36667
Mvangue,Africa/Douala,2.96667,11.51667
Muyuka,Africa/Douala,4.2898,9.4103
Mutengene,Africa/Douala,4.0913,9.3144
Mundemba,Africa/Douala,4.9479,8.8724
Mouanko,Africa/Douala,3.63972,9.77694
Mora,Africa/Douala,11.04611,14.14011
Mokolo,Africa/Douala,10.74244,13.80227
Mme-Bafumen,Africa/Douala,6.33333,10.23333
Minta,Africa/Douala,4.58333,12.8
Mindif,Africa/Douala,10.39757,14.43626
Melong,Africa/Douala,5.12181,9.96143
Meiganga,Africa/Douala,6.51667,14.3
Mbouda,Africa/Douala,5.62611,10.25421
Mbengwi,Africa/Douala,6.01667,10.0
Mbankomo,Africa/Douala,3.78333,11.38333
Mbanga,Africa/Douala,4.5016,9.5671
Mbang,Africa/Douala,4.58333,13.33333
Mbandjok,Africa/Douala,4.45,11.9
Mbalmayo,Africa/Douala,3.51667,11.5
Maroua,Africa/Douala,10.59095,14.31593
Manjo,Africa/Douala,4.8428,9.8217
Mamfe,Africa/Douala,5.75132,9.3137
Makary,Africa/Douala,12.57535,14.45483
Maan,Africa/Douala,2.35,10.61667
Loum,Africa/Douala,4.7182,9.7351
Lolodorf,Africa/Douala,3.23333,10.73333
Limbe,Africa/Douala,4.02356,9.20607
Lagdo,Africa/Douala,9.05828,13.66605
Kumbo,Africa/Douala,6.2,10.66667
Kumba,Africa/Douala,4.6363,9.4469
Kribi,Africa/Douala,2.93725,9.90765
Koza,Africa/Douala,10.86846,13.88205
Kousseri,Africa/Douala,12.07689,15.03063
Kontcha,Africa/Douala,7.96667,12.23333
Bankim,Africa/Douala,6.08303,11.4905
Kaele,Africa/Douala,10.10917,14.45083
Jakiri,Africa/Douala,6.1,10.65
Guider,Africa/Douala,9.9333,13.94671
Garoua Boulai,Africa/Douala,5.88333,14.55
Garoua,Africa/Douala,9.30143,13.39771
Fundong,Africa/Douala,6.25,10.26667
Foumbot,Africa/Douala,5.50803,10.6325
Foumban,Africa/Douala,5.72662,10.89865
Fontem,Africa/Douala,5.4685,9.8818
Evodoula,Africa/Douala,4.08333,11.2
Esse,Africa/Douala,4.1,11.9
Eseka,Africa/Douala,3.65,10.76667
Edea,Africa/Douala,3.8,10.13333
Ebolowa,Africa/Douala,2.9,11.15
Dschang,Africa/Douala,5.44397,10.05332
Doume,Africa/Douala,4.23333,13.45
Douala,Africa/Douala,4.04827,9.70428
Djohong,Africa/Douala,6.83333,14.7
Dizangue,Africa/Douala,3.76667,9.98333
Dimako,Africa/Douala,4.38333,13.56667
Dibombari,Africa/Douala,4.1787,9.6561
Diang,Africa/Douala,4.25,10.01667
Buea,Africa/Douala,4.15342,9.24231
Bonaberi,Africa/Douala,4.07142,9.68177
Bogo,Africa/Douala,10.7336,14.60928
Betare Oya,Africa/Douala,5.6,14.08333
Bertoua,Africa/Douala,4.57728,13.68459
Belo,Africa/Douala,6.13333,10.25
Belel,Africa/Douala,7.05,14.43333
Belabo,Africa/Douala,4.93333,13.3
Bekondo,Africa/Douala,4.6819,9.3214
Bazou,Africa/Douala,5.06001,10.46751
Batouri,Africa/Douala,4.43333,14.36667
Batibo,Africa/Douala,5.8358,9.8553
Banyo,Africa/Douala,6.75,11.81667
Bansoa,Africa/Douala,5.44836,10.31355
Ngou,Africa/Douala,5.19685,10.38595
Bangangte,Africa/Douala,5.14079,10.52535
Bandjoun,Africa/Douala,5.37568,10.41326
Bana,Africa/Douala,5.14655,10.27545
Bamusso,Africa/Douala,4.4591,8.9027
Bamendjou,Africa/Douala,5.38988,10.33014
Bamenda,Africa/Douala,5.9597,10.14597
Bali,Africa/Douala,5.88737,10.01176
Bafoussam,Africa/Douala,5.47775,10.41759
Bafia,Africa/Douala,4.75,11.23333
Bafang,Africa/Douala,5.15705,10.1771
Babanki,Africa/Douala,6.11667,10.25
Ambam,Africa/Douala,2.38333,11.28333
Akonolinga,Africa/Douala,3.76667,12.25
Akono,Africa/Douala,3.5,11.33333
Akom II,Africa/Douala,2.78333,10.56667
Abong Mbang,Africa/Douala,3.98333,13.18333
Ndom,Africa/Douala,4.4978,9.5628
Somie,Africa/Douala,6.45843,11.43299
Zongzhai,Asia/Shanghai,39.61667,98.6
Zongjia,Asia/Shanghai,36.25154,96.949
Zongga,Asia/Shanghai,29.0,85.25
Zito,Asia/Shanghai,30.73893,95.83613
Zhugkyung,Asia/Shanghai,37.59776,99.41418
Zhowagoin,Asia/Shanghai,28.6591,97.45065
Zhoinda,Asia/Shanghai,33.20002,97.0305
Zhiqu,Asia/Shanghai,34.30825,95.50335
Zhefang,Asia/Shanghai,24.26667,98.28333
Zhedao,Asia/Shanghai,24.81934,98.27627
Zhangfeng,Asia/Shanghai,24.19064,97.80191
Zhamog,Asia/Shanghai,29.86653,95.75903
Zham,Asia/Shanghai,27.98333,85.98333
Zhadong,Asia/Shanghai,29.65,84.16667
Zepu,Asia/Urumqi,38.18867,77.27075
Xuji,Asia/Shanghai,37.34913,97.83299
Zaring,Asia/Shanghai,31.98568,91.70785
Zaqing,Asia/Shanghai,33.068,95.16901
Zangguy,Asia/Urumqi,37.28333,78.76667
Zala,Asia/Shanghai,31.76446,93.60966
Zaindainxoi,Asia/Shanghai,31.85,93.66667
Zadoi,Asia/Shanghai,33.76962,96.74201
Yumendong,Asia/Shanghai,39.8,97.9
Yukuriawat,Asia/Urumqi,39.08335,77.56662
Zibihu,Asia/Shanghai,26.1143,99.95267
Yege,Asia/Shanghai,34.57502,95.34226
Yopurga,Asia/Urumqi,39.23938,76.76432
Yingpan,Asia/Shanghai,26.45,99.15
Yeyik,Asia/Urumqi,36.66667,83.23333
Yeniugou,Asia/Shanghai,38.42731,99.51866
Yanduo,Asia/Shanghai,30.65722,97.5731
Qaghiliq,Asia/Urumqi,37.88256,77.41255
Yantak,Asia/Urumqi,38.99408,77.66083
Yangkang,Asia/Shanghai,37.68333,98.75
Ya'ngan,Asia/Shanghai,31.84372,94.43749
Yanchiwan,Asia/Shanghai,38.98209,96.11373
Xungmai,Asia/Shanghai,31.34087,89.01445
Xueshan,Asia/Shanghai,34.7947,99.7262
Xuelin,Asia/Shanghai,23.02268,99.558
Xiwu,Asia/Shanghai,33.13021,97.34694
Xitieshan,Asia/Shanghai,37.29721,95.51479
Xireg,Asia/Shanghai,36.91866,98.44463
Xinyuan,Asia/Shanghai,37.3,99.0
Xinba,Asia/Shanghai,39.15821,99.40676
Rikaze,Asia/Shanghai,29.25,88.88333
Xidong,Asia/Shanghai,39.6,98.4
Xiao Surmang,Asia/Shanghai,32.35,97.23333
Xiangride,Asia/Shanghai,35.99335,97.88649
Xialaxiu,Asia/Shanghai,32.6672,96.61051
Xiaheqing,Asia/Shanghai,39.56667,98.96667
Xia Dawo,Asia/Shanghai,35.00368,99.26047
Xia Boingor,Asia/Shanghai,32.8,99.7
Xiexiong,Asia/Shanghai,31.41,95.62
Xinji,Asia/Shanghai,30.59754,89.83236
Xekar,Asia/Urumqi,39.81582,77.36649
Xegar,Asia/Shanghai,28.63333,87.08333
Xarsingma,Asia/Shanghai,27.49402,88.95296
Xarag,Asia/Shanghai,36.4,98.18333
Xangda,Asia/Shanghai,32.20551,96.47809
Ulughchat,Asia/Urumqi,39.70979,75.19696
Wendong,Asia/Shanghai,23.16667,99.9
Waxxari,Asia/Urumqi,38.68908,87.37218
Wangdain,Asia/Shanghai,28.86684,89.15356
Wangda,Asia/Shanghai,29.67445,97.83736
Tunggar,Asia/Shanghai,29.0088,93.19239
Tungdor,Asia/Shanghai,29.2,94.08333
Tumantale,Asia/Urumqi,39.15088,77.78813
Darya Boyi,Asia/Urumqi,38.38333,82.0
Tomorlog,Asia/Shanghai,38.25555,90.31196
Toding,Asia/Shanghai,31.48056,79.79803
Tengyue,Asia/Shanghai,24.99492,98.51276
Tashqorghan,Asia/Urumqi,37.76994,75.22453
Tatrang,Asia/Urumqi,38.46667,85.63333
Tanglag,Asia/Shanghai,33.9973,99.44638
Jiuquan,Asia/Shanghai,39.74318,98.51736
Songmai,Asia/Shanghai,28.71471,99.28633
Shule,Asia/Urumqi,39.40231,76.0508
Shiquanhe,Asia/Shanghai,32.50124,80.09758
Shimen,Asia/Shanghai,25.88965,99.36868
Shigu,Asia/Shanghai,26.86852,99.95628
Dianyang,Asia/Shanghai,24.70261,99.15919
Shibaocheng,Asia/Shanghai,39.8,96.06667
Shengping,Asia/Shanghai,28.48563,98.91139
Shangyun,Asia/Shanghai,23.05191,99.82838
Shanglaxiu,Asia/Shanghai,32.85399,96.58426
Shanggongma,Asia/Shanghai,33.83333,99.66667
Shang Boingor,Asia/Shanghai,32.9,99.58333
Shangpa,Asia/Shanghai,26.91948,98.95158
Shache,Asia/Urumqi,38.41667,77.24056
Segong,Asia/Shanghai,32.21667,92.11667
Serikbuya,Asia/Urumqi,39.30174,77.81786
Serh,Asia/Shanghai,36.94895,98.37463
Shinaihai,Asia/Shanghai,36.98238,99.62898
Sangruma,Asia/Shanghai,33.65,99.2
Samada,Asia/Shanghai,28.40407,89.55545
Sajia,Asia/Shanghai,28.91667,88.05
Shading,Asia/Shanghai,31.25887,94.49558
Rutog,Asia/Shanghai,33.41844,79.63919
Ruoqiang,Asia/Urumqi,39.02003,88.16465
Ruidian,Asia/Shanghai,25.53171,98.40855
Rongbo,Asia/Shanghai,31.55707,94.63278
Rendui,Asia/Shanghai,30.07346,89.10471
Rinbung,Asia/Shanghai,29.26733,89.80928
Reshui,Asia/Shanghai,36.22036,98.16877
Reyu,Asia/Shanghai,31.15956,95.13349
Ramba,Asia/Shanghai,29.13178,90.12772
Racaka,Asia/Shanghai,31.4,96.51667
Quxar,Asia/Shanghai,29.1,87.65
Qushi,Asia/Shanghai,25.21667,98.6
Quemong,Asia/Shanghai,32.97771,98.09795
Qira,Asia/Urumqi,37.02847,80.80287
Qiqing,Asia/Shanghai,39.18333,98.0
Qingshui,Asia/Shanghai,39.38333,99.13333
Qingshuihe,Asia/Shanghai,33.80385,97.13627
Qinglung,Asia/Shanghai,31.16164,90.66613
Qilanbulak,Asia/Shanghai,38.386,90.15696
Qigzhi,Asia/Shanghai,34.56839,95.65833
Qiemo,Asia/Urumqi,38.13407,85.52977
Qarek,Asia/Urumqi,38.37222,76.99028
Qiangqinxue,Asia/Shanghai,29.26667,89.9
Qamdo,Asia/Shanghai,31.1304,97.17982
Jiajuedibu,Asia/Shanghai,30.93333,88.63333
Qiaze,Asia/Shanghai,31.70892,93.17429
Qagan Us,Asia/Shanghai,36.39719,98.01222
Puqu,Asia/Shanghai,29.4697,94.41726
Pubu,Asia/Shanghai,31.39625,90.00958
Guma Baziri,Asia/Urumqi,37.6168,78.28087
Yingjiang,Asia/Shanghai,24.71022,97.93671
Paingar,Asia/Shanghai,31.19793,94.03543
Pagri,Asia/Shanghai,27.75,89.16667
Kequ,Asia/Shanghai,33.96865,99.90097
Pagnag,Asia/Shanghai,32.26986,91.68101
Oytograk,Asia/Urumqi,36.83333,81.93333
A'yi Take,Asia/Urumqi,38.95303,75.42783
Wosai,Asia/Shanghai,33.61667,99.8
Nyima,Asia/Shanghai,31.75928,92.25355
Nyima,Asia/Shanghai,31.54353,92.7324
Nieru,Asia/Shanghai,28.52517,89.85041
Nyagla,Asia/Shanghai,32.04136,96.84065
Nur,Asia/Urumqi,36.32472,81.05972
Luobuqiongzi,Asia/Shanghai,29.16667,89.25
Nomhon,Asia/Shanghai,36.37056,96.40821
Ngamring,Asia/Shanghai,29.23333,87.16667
Geji,Asia/Shanghai,32.39545,81.13972
Nanhua,Asia/Shanghai,39.31667,99.78333
Nangxian,Asia/Shanghai,29.04701,93.08795
Wenquan,Asia/Shanghai,35.21665,99.66273
Namsai,Asia/Shanghai,32.78552,95.61479
Namling,Asia/Shanghai,29.68527,89.09556
Nailung,Asia/Shanghai,29.1141,93.86873
Nagqu,Asia/Shanghai,31.47678,92.05729
Muri,Asia/Shanghai,38.13333,99.06667
Mozhong,Asia/Shanghai,32.26974,96.82032
Qaraqash,Asia/Urumqi,37.27246,79.73438
Minghai,Asia/Shanghai,39.5,99.41667
Niya,Asia/Urumqi,37.06553,82.68933
Mengsuo,Asia/Shanghai,22.60199,99.55137
Mengmeng,Asia/Shanghai,23.46502,99.80206
Mengmao,Asia/Shanghai,24.00139,97.86499
Menglang,Asia/Shanghai,22.56214,99.91029
Mengdong,Asia/Shanghai,23.16152,99.20226
Motuo,Asia/Shanghai,29.31329,95.30741
Mekit,Asia/Urumqi,38.89697,77.63911
Mangshi,Asia/Shanghai,24.45329,98.57037
Maindong,Asia/Shanghai,31.33333,85.41667
Madoi,Asia/Shanghai,35.02494,96.37157
Machali,Asia/Shanghai,34.93333,98.23333
Luzhang,Asia/Shanghai,25.97309,98.82345
Luocheng,Asia/Shanghai,39.68274,99.55445
Lungmar,Asia/Shanghai,28.85816,89.94036
Lunang,Asia/Shanghai,29.73349,94.72614
Luring,Asia/Shanghai,32.26667,84.2
Lop,Asia/Urumqi,37.07403,80.18231
Longshan,Asia/Shanghai,24.60089,98.70418
Liuku,Asia/Shanghai,25.8505,98.85567
Linshui,Asia/Shanghai,39.78916,98.79039
Lingti,Asia/Shanghai,30.95818,92.5753
Lianhua,Asia/Shanghai,39.63333,99.1
Lhasa,Asia/Shanghai,29.65,91.1
Lhari,Asia/Shanghai,30.7436,93.33754
Lenghu,Asia/Shanghai,38.73741,93.33199
Laojunmiao,Asia/Shanghai,39.83333,97.73333
Bonan,Asia/Shanghai,25.46335,99.52826
Langru,Asia/Urumqi,36.89333,79.62139
Lab,Asia/Shanghai,33.27168,97.14169
Kugri,Asia/Shanghai,35.65924,98.40986
Kormang,Asia/Shanghai,31.69834,92.42577
Kokyar,Asia/Urumqi,36.81899,81.63334
Kizilsu,Asia/Urumqi,39.67467,76.73997
Kezilei,Asia/Urumqi,38.65126,76.46791
Kashgar,Asia/Urumqi,39.47066,75.98951
Karmar,Asia/Shanghai,37.3625,98.83611
Karmai,Asia/Shanghai,29.13517,89.4955
Kardoi,Asia/Shanghai,29.1233,89.57375
Karaki,Asia/Urumqi,36.98144,81.22508
Kaqun,Asia/Urumqi,37.97806,76.86722
Kangxung,Asia/Shanghai,29.29059,90.08237
Kangmar,Asia/Shanghai,28.55953,89.68009
Kamru,Asia/Shanghai,28.62235,89.48815
Kaiwen,Asia/Shanghai,27.1561,99.83483
Tongpu,Asia/Shanghai,36.98333,98.5
Zongwulong,Asia/Shanghai,37.38458,97.34973
Judian,Asia/Shanghai,27.30612,99.6491
Jomda,Asia/Shanghai,31.4962,98.21171
Jirmeng,Asia/Shanghai,37.15167,99.56944
Jiqu,Asia/Shanghai,31.95,96.11667
Jinisai,Asia/Shanghai,32.06651,96.00249
Jinta,Asia/Shanghai,39.98333,98.86667
Jinhua,Asia/Shanghai,26.538,99.91715
Jinfosi,Asia/Shanghai,39.4,98.81667
Jinding,Asia/Shanghai,26.43903,99.44061
Jietou,Asia/Shanghai,25.4274,98.65324
Jiayuguan,Asia/Shanghai,39.81121,98.28618
Jiashi,Asia/Urumqi,39.49554,76.74282
Jianshe,Asia/Shanghai,33.68333,99.4
Jangdam,Asia/Shanghai,29.33801,89.24618
Jamda,Asia/Shanghai,31.483,94.38641
Huashixia,Asia/Shanghai,35.11667,98.8
Huanghe,Asia/Shanghai,34.56667,98.31667
Houqiao,Asia/Shanghai,25.32356,98.27802
Hotan,Asia/Urumqi,37.1075,79.93548
Hongyazi,Asia/Shanghai,39.15407,99.30186
Hongwansi,Asia/Shanghai,38.83514,99.59865
Gasi,Asia/Shanghai,38.1461,90.90514
Hoit Taria,Asia/Shanghai,37.35155,96.74974
Heshun,Asia/Shanghai,25.01667,98.46667
Heka,Asia/Shanghai,35.89116,99.98865
Heiquan,Asia/Shanghai,39.51667,99.61667
Heimahe,Asia/Shanghai,36.72893,99.77684
Gyobrag,Asia/Shanghai,32.56717,96.15508
Gyigang,Asia/Shanghai,28.66667,97.51667
Jindong,Asia/Shanghai,28.9705,93.38259
Jiangzi,Asia/Shanghai,28.92026,89.59956
Gyangkar,Asia/Shanghai,28.4,87.8
Gyamotang,Asia/Shanghai,31.53333,95.43333
Gyamco,Asia/Shanghai,29.84665,89.18635
Gyairong,Asia/Shanghai,33.27016,96.42214
Gudong,Asia/Shanghai,25.34165,98.48297
Golug,Asia/Shanghai,30.82956,91.6206
Golmud,Asia/Shanghai,36.40672,94.90061
Gengqing,Asia/Shanghai,31.81649,98.59579
Gengma,Asia/Shanghai,23.52325,99.3786
Jiding,Asia/Shanghai,29.36667,88.25
Gaxung,Asia/Shanghai,32.06672,95.65691
Gar,Asia/Shanghai,32.11941,80.0561
Gartog,Asia/Shanghai,29.68451,98.59473
Gaotai Chengguanzhen,Asia/Shanghai,39.34456,99.80015
Kambaxoi,Asia/Shanghai,28.3,88.53333
Gala,Asia/Shanghai,28.26311,89.38187
Gahe,Asia/Shanghai,38.8,97.63333
Gadong,Asia/Shanghai,29.21273,89.17835
Nansan,Asia/Shanghai,23.79575,98.80397
Fengshan,Asia/Shanghai,24.58333,99.9
Elixku,Asia/Urumqi,38.70917,77.37056
Dongxi,Asia/Shanghai,28.64921,89.11988
Dongdong,Asia/Shanghai,39.5,98.66667
Domba,Asia/Shanghai,32.31121,95.58464
Domartang,Asia/Shanghai,30.93902,94.68908
Duocai,Asia/Shanghai,33.81034,95.42127
Dobjoi,Asia/Shanghai,29.53331,89.06054
Deqing,Asia/Shanghai,30.52803,90.12572
Deqen,Asia/Shanghai,29.96178,90.71875
Delingha,Asia/Shanghai,37.376,97.37457
Dedang,Asia/Shanghai,24.0118,99.23964
Dartang,Asia/Shanghai,31.93333,94.0
Daqian,Asia/Shanghai,31.74697,92.75183
Da Qaidam,Asia/Shanghai,37.83333,95.3
Dangchengwan,Asia/Shanghai,39.50011,95.04081
Dagur,Asia/Shanghai,36.41667,95.73333
Chongdui,Asia/Shanghai,28.15,85.96667
Coka,Asia/Shanghai,30.9054,94.6695
Codoi,Asia/Shanghai,30.48059,92.42228
Cikai,Asia/Shanghai,27.76344,98.71105
Youdian,Asia/Shanghai,24.82894,99.59232
Changma,Asia/Shanghai,39.86667,96.76667
Burang,Asia/Shanghai,30.29559,81.17511
Baoji,Asia/Shanghai,30.99411,90.18183
Molo,Asia/Shanghai,30.86004,98.27297
Langgar,Asia/Urumqi,36.7,81.5
Qiezha,Asia/Shanghai,32.07512,96.51447
Baiba,Asia/Shanghai,29.79923,93.85241
Bayi,Asia/Shanghai,29.65812,94.35892
Barun,Asia/Shanghai,35.92907,97.41575
Baoshan,Asia/Shanghai,25.11626,99.16366
Baohe,Asia/Shanghai,27.19582,99.32483
Banbar,Asia/Shanghai,30.83198,94.83675
Baitang,Asia/Shanghai,32.82427,97.15459
Baima,Asia/Shanghai,30.05752,96.91852
Bagan,Asia/Shanghai,33.89783,96.52141
Aqqan,Asia/Urumqi,36.46667,81.96667
Arza,Asia/Shanghai,30.64536,93.24297
Atush,Asia/Urumqi,39.71085,76.17138
Yilkiqi,Asia/Urumqi,37.96111,77.24917
Layka,Asia/Urumqi,37.07694,79.73167
Saybag,Asia/Urumqi,37.14972,79.65833
Arix,Asia/Urumqi,36.75541,81.60765
Xambabazar,Asia/Urumqi,36.88639,81.50972
Yengibag,Asia/Urumqi,36.96583,81.67833
Rokiya,Asia/Urumqi,37.07861,82.81528
Aqqik,Asia/Urumqi,39.12619,76.57337
Damiku,Asia/Urumqi,36.97861,81.09417
Zhaosu,Asia/Urumqi,43.12278,81.07583
Yumen,Asia/Shanghai,40.28333,97.2
Yuli,Asia/Urumqi,41.33662,86.25675
Yuanquan,Asia/Shanghai,40.5,95.8
Yining,Asia/Urumqi,43.97799,81.51804
Yengiawat,Asia/Urumqi,41.3525,79.46861
Yanqi,Asia/Urumqi,42.06204,86.56632
Yangjiaqiao,Asia/Shanghai,40.12607,94.66383
Xirikxiy,Asia/Urumqi,47.35574,88.01785
